Input_file	Dataset	Complete	Single	Duplicated	Fragmented	Missing	n_markers	Scaffold N50	Contigs N50	Percent gaps	Number of scaffolds
sal2_R941.30.fq.seed5.ont.fa	enterobacterales_odb10	97.0	96.8	0.2	1.6	1.4	440	4211639	4211639	0.000%	4
sal2_R941.50.fq.seed1.ont.fa	enterobacterales_odb10	97.5	97.3	0.2	1.6	0.9	440	4211648	4211648	0.000%	5
sal2_R941.10.fq.seed5.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	1427616	1427616	0.000%	6
sal2_simplex.100.fq.seed4.ont.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4215184	4215184	0.000%	6
sal2_simplex.120.fq.seed3.ont.fa	enterobacterales_odb10	99.1	98.9	0.2	0.2	0.7	440	4215186	4215186	0.000%	7
sal2_simplex.20.fq.seed3.ngs.fa	enterobacterales_odb10	99.5	99.3	0.2	0.0	0.5	440	1825787	1825787	0.000%	6
sal2_R941.40.fq.seed5.ont.fa	enterobacterales_odb10	97.0	96.8	0.2	1.6	1.4	440	4211660	4211660	0.000%	4
sal2_simplex.90.fq.seed1.ont.fa	enterobacterales_odb10	99.1	98.9	0.2	0.2	0.7	440	4215182	4215182	0.000%	5
sal2_R941.60.fq.seed4.ngs.fa	enterobacterales_odb10	98.8	98.6	0.2	0.5	0.7	440	4212024	4212024	0.000%	5
sal2_simplex.120.fq.seed3.ngs.fa	enterobacterales_odb10	99.5	99.3	0.2	0.0	0.5	440	4215216	4215216	0.000%	5
sal2_R941.90.fq.seed1.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.2	0.5	440	4212034	4212034	0.000%	5
sal2_R941.70.fq.seed5.ngs.fa	enterobacterales_odb10	99.5	99.3	0.2	0.0	0.5	440	4212025	4212025	0.000%	5
sal2_simplex.30.fq.seed5.ont.fa	enterobacterales_odb10	99.1	98.9	0.2	0.2	0.7	440	4215094	4215094	0.000%	5
sal2_simplex.60.fq.seed3.ont.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4215187	4215187	0.000%	5
sal2_simplex.100.fq.seed2.ngs.fa	enterobacterales_odb10	99.5	99.3	0.2	0.0	0.5	440	4215205	4215205	0.000%	5
sal2_R941.70.fq.seed3.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4212041	4212041	0.000%	4
sal2_R941.40.fq.seed5.ngs.fa	enterobacterales_odb10	99.1	98.9	0.2	0.0	0.9	440	4212019	4212019	0.000%	4
sal2_simplex.80.fq.seed4.ont.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4215186	4215186	0.000%	6
sal2_simplex.20.fq.seed5.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4215391	4215391	0.000%	4
sal2_simplex.120.fq.seed1.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4215208	4215208	0.000%	5
sal2_simplex.120.fq.seed1.ont.fa	enterobacterales_odb10	99.5	99.3	0.2	0.0	0.5	440	4215183	4215183	0.000%	6
sal2_R941.30.fq.seed2.ont.fa	enterobacterales_odb10	96.1	95.9	0.2	3.0	0.9	440	4211575	4211575	0.000%	4
sal2_simplex.100.fq.seed3.ont.fa	enterobacterales_odb10	99.1	98.9	0.2	0.2	0.7	440	4215184	4215184	0.000%	5
sal2_simplex.90.fq.seed3.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.2	0.5	440	4215208	4215208	0.000%	5
sal2_simplex.40.fq.seed4.ngs.fa	enterobacterales_odb10	98.8	98.6	0.2	0.5	0.7	440	4215208	4215208	0.000%	5
sal2_simplex.110.fq.seed3.ont.fa	enterobacterales_odb10	99.1	98.9	0.2	0.2	0.7	440	4215184	4215184	0.000%	6
sal2_R941.70.fq.seed1.ont.fa	enterobacterales_odb10	97.5	97.3	0.2	1.8	0.7	440	4211690	4211690	0.000%	4
sal2_simplex.100.fq.seed5.ngs.fa	enterobacterales_odb10	99.1	98.9	0.2	0.0	0.9	440	4215199	4215199	0.000%	5
sal2_simplex.40.fq.seed5.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4215112	4215112	0.000%	5
sal2_simplex.100.fq.seed2.ont.fa	enterobacterales_odb10	99.1	98.9	0.2	0.2	0.7	440	4215179	4215179	0.000%	5
sal2_R941.80.fq.seed1.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4212035	4212035	0.000%	5
sal2_R941.40.fq.seed1.ngs.fa	enterobacterales_odb10	99.5	99.3	0.2	0.0	0.5	440	4212054	4212054	0.000%	4
sal2_simplex.90.fq.seed2.ont.fa	enterobacterales_odb10	99.1	98.9	0.2	0.2	0.7	440	4215147	4215147	0.000%	5
sal2_simplex.40.fq.seed3.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4215210	4215209	0.000%	5
sal2_simplex.40.fq.seed2.ont.fa	enterobacterales_odb10	98.6	98.4	0.2	0.5	0.9	440	4215170	4215170	0.000%	5
sal2_simplex.10.fq.seed1.ngs.fa	enterobacterales_odb10	99.5	99.5	0.0	0.0	0.5	440	938532	938532	0.000%	13
sal2_simplex.40.fq.seed5.ont.fa	enterobacterales_odb10	99.1	98.9	0.2	0.2	0.7	440	4215171	4215171	0.000%	5
sal2_R941.20.fq.seed3.ont.fa	enterobacterales_odb10	95.2	95.0	0.2	3.9	0.9	440	4211373	4211373	0.000%	4
sal2_R941.100.fq.seed3.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4212035	4212035	0.000%	5
sal2_R941.80.fq.seed2.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.2	0.5	440	4212022	4212022	0.000%	5
sal2_R941.110.fq.seed3.ont.fa	enterobacterales_odb10	97.5	97.3	0.2	1.6	0.9	440	4211679	4211679	0.000%	9
sal2_R941.110.fq.seed3.ngs.fa	enterobacterales_odb10	98.6	98.4	0.2	0.7	0.7	440	4212025	4212025	0.000%	4
sal2_R941.90.fq.seed4.ont.fa	enterobacterales_odb10	97.9	97.7	0.2	1.6	0.5	440	4211679	4211679	0.000%	8
sal2_simplex.70.fq.seed5.ont.fa	enterobacterales_odb10	99.5	99.3	0.2	0.0	0.5	440	4215191	4215191	0.000%	5
sal2_simplex.100.fq.seed4.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4215208	4215208	0.000%	5
sal2_R941.110.fq.seed2.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4212029	4212029	0.000%	5
sal2_R941.20.fq.seed2.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.2	0.5	440	4211536	4211536	0.000%	4
sal2_simplex.80.fq.seed1.ngs.fa	enterobacterales_odb10	98.8	98.6	0.2	0.5	0.7	440	4215206	4215206	0.000%	5
sal2_R941.40.fq.seed2.ngs.fa	enterobacterales_odb10	99.1	98.9	0.2	0.2	0.7	440	5019599	5019599	0.000%	2
sal2_R941.110.fq.seed1.ngs.fa	enterobacterales_odb10	99.1	98.9	0.2	0.2	0.7	440	4212035	4212035	0.000%	6
sal2_simplex.20.fq.seed1.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.2	0.5	440	4215193	4215193	0.000%	4
sal2_simplex.20.fq.seed3.ont.fa	enterobacterales_odb10	98.6	98.4	0.2	0.7	0.7	440	1825756	1825756	0.000%	6
sal2_simplex.80.fq.seed2.ngs.fa	enterobacterales_odb10	99.1	98.9	0.2	0.2	0.7	440	4215177	4215177	0.000%	5
sal2_simplex.10.fq.seed5.ngs.fa	enterobacterales_odb10	98.6	98.4	0.2	0.2	1.2	440	998908	998908	0.000%	13
sal2_R941.70.fq.seed2.ngs.fa	enterobacterales_odb10	99.1	98.9	0.2	0.0	0.9	440	4212046	4212046	0.000%	4
sal2_R941.110.fq.seed5.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.2	0.5	440	4212042	4212042	0.000%	5
sal2_R941.30.fq.seed1.ont.fa	enterobacterales_odb10	96.6	96.4	0.2	2.3	1.1	440	4211580	4211580	0.000%	4
sal2_simplex.80.fq.seed2.ont.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4215149	4215149	0.000%	5
sal2_R941.80.fq.seed3.ont.fa	enterobacterales_odb10	97.7	97.5	0.2	1.4	0.9	440	4211693	4211693	0.000%	7
sal2_simplex.110.fq.seed1.ont.fa	enterobacterales_odb10	99.3	99.1	0.2	0.2	0.5	440	4215180	4215180	0.000%	5
sal2_simplex.110.fq.seed5.ont.fa	enterobacterales_odb10	99.5	99.3	0.2	0.0	0.5	440	5019598	5019598	0.000%	6
sal2_simplex.100.fq.seed1.ngs.fa	enterobacterales_odb10	99.1	98.9	0.2	0.2	0.7	440	4215219	4215219	0.000%	5
sal2_R941.100.fq.seed4.ont.fa	enterobacterales_odb10	97.9	97.7	0.2	1.6	0.5	440	4211682	4211682	0.000%	9
sal2_simplex.50.fq.seed4.ngs.fa	enterobacterales_odb10	99.1	98.9	0.2	0.2	0.7	440	4215226	4215226	0.000%	5
sal2_simplex.120.fq.seed2.ont.fa	enterobacterales_odb10	99.1	98.9	0.2	0.2	0.7	440	4215157	4215157	0.000%	6
sal2_simplex.30.fq.seed3.ngs.fa	enterobacterales_odb10	98.8	98.6	0.2	0.7	0.5	440	4215207	4215207	0.000%	5
sal2_simplex.80.fq.seed3.ont.fa	enterobacterales_odb10	99.3	99.1	0.2	0.2	0.5	440	4215171	4215171	0.000%	5
sal2_simplex.10.fq.seed5.ont.fa	enterobacterales_odb10	91.8	91.6	0.2	4.1	4.1	440	999042	999042	0.000%	13
sal2_R941.120.fq.seed2.ont.fa	enterobacterales_odb10	98.0	97.5	0.5	1.4	0.6	440	4211679	4211679	0.000%	14
sal2_simplex.80.fq.seed3.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.2	0.5	440	4215205	4215205	0.000%	5
sal2_simplex.70.fq.seed3.ont.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4215189	4215189	0.000%	5
sal2_R941.110.fq.seed1.ont.fa	enterobacterales_odb10	97.3	96.8	0.5	1.8	0.9	440	4211688	4211688	0.000%	10
sal2_simplex.60.fq.seed2.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.2	0.5	440	4215196	4215196	0.000%	5
sal2_simplex.40.fq.seed1.ngs.fa	enterobacterales_odb10	99.5	99.3	0.2	0.0	0.5	440	4215200	4215200	0.000%	6
sal2_simplex.60.fq.seed1.ngs.fa	enterobacterales_odb10	99.5	99.3	0.2	0.0	0.5	440	4215204	4215204	0.000%	5
sal2_simplex.80.fq.seed5.ont.fa	enterobacterales_odb10	99.1	98.9	0.2	0.2	0.7	440	4215178	4215178	0.000%	6
sal2_simplex.60.fq.seed4.ont.fa	enterobacterales_odb10	99.5	99.3	0.2	0.0	0.5	440	4215189	4215189	0.000%	6
sal2_simplex.50.fq.seed3.ont.fa	enterobacterales_odb10	99.1	98.9	0.2	0.2	0.7	440	4215162	4215162	0.000%	5
sal2_simplex.90.fq.seed5.ont.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4198720	4198720	0.000%	7
sal2_R941.50.fq.seed3.ont.fa	enterobacterales_odb10	97.5	97.3	0.2	1.6	0.9	440	4211658	4211658	0.000%	6
sal2_R941.80.fq.seed4.ont.fa	enterobacterales_odb10	97.5	97.3	0.2	2.0	0.5	440	4211687	4211687	0.000%	7
sal2_simplex.30.fq.seed4.ont.fa	enterobacterales_odb10	99.1	98.9	0.2	0.2	0.7	440	4215242	4215242	0.000%	5
sal2_simplex.70.fq.seed3.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4215207	4215207	0.000%	5
sal2_R941.70.fq.seed5.ont.fa	enterobacterales_odb10	97.2	97.0	0.2	1.8	1.0	440	4211697	4211697	0.000%	7
sal2_simplex.30.fq.seed2.ont.fa	enterobacterales_odb10	98.8	98.6	0.2	0.5	0.7	440	4215169	4215169	0.000%	5
sal2_simplex.30.fq.seed3.ont.fa	enterobacterales_odb10	99.3	99.1	0.2	0.2	0.5	440	4215174	4215174	0.000%	5
sal2_R941.120.fq.seed4.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4212029	4212029	0.000%	5
sal2_R941.100.fq.seed3.ont.fa	enterobacterales_odb10	97.5	97.3	0.2	1.8	0.7	440	4211661	4211661	0.000%	10
sal2_R941.20.fq.seed5.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4212058	4212058	0.000%	4
sal2_R941.120.fq.seed3.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4212020	4212020	0.000%	5
sal2_R941.110.fq.seed5.ont.fa	enterobacterales_odb10	97.2	97.0	0.2	2.0	0.8	440	4211698	4211698	0.000%	15
sal2_R941.60.fq.seed5.ont.fa	enterobacterales_odb10	97.2	97.0	0.2	1.6	1.2	440	4211686	4211686	0.000%	7
sal2_R941.60.fq.seed3.ngs.fa	enterobacterales_odb10	99.5	99.3	0.2	0.0	0.5	440	4212025	4212025	0.000%	4
sal2_R941.100.fq.seed5.ngs.fa	enterobacterales_odb10	99.5	99.3	0.2	0.0	0.5	440	4212035	4212035	0.000%	5
sal2_simplex.20.fq.seed1.ont.fa	enterobacterales_odb10	99.1	98.9	0.2	0.5	0.4	440	4215158	4215158	0.000%	4
sal2_simplex.30.fq.seed4.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4215267	4215265	0.000%	5
sal2_simplex.10.fq.seed3.ont.fa	enterobacterales_odb10	91.8	91.6	0.2	5.5	2.7	440	801924	801924	0.000%	11
sal2_simplex.110.fq.seed3.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4215216	4215216	0.000%	5
sal2_R941.50.fq.seed2.ont.fa	enterobacterales_odb10	97.0	96.8	0.2	2.0	1.0	440	4211647	4211647	0.000%	4
sal2_simplex.50.fq.seed2.ngs.fa	enterobacterales_odb10	99.5	99.3	0.2	0.0	0.5	440	4215204	4215204	0.000%	5
sal2_simplex.110.fq.seed1.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4215206	4215206	0.000%	5
sal2_R941.120.fq.seed1.ont.fa	enterobacterales_odb10	97.3	96.8	0.5	1.8	0.9	440	4211696	4211696	0.000%	14
sal2_R941.30.fq.seed3.ngs.fa	enterobacterales_odb10	99.1	98.9	0.2	0.2	0.7	440	4211751	4211751	0.000%	4
sal2_R941.30.fq.seed4.ont.fa	enterobacterales_odb10	96.6	96.4	0.2	2.3	1.1	440	4211629	4211629	0.000%	4
sal2_R941.60.fq.seed2.ont.fa	enterobacterales_odb10	96.8	96.6	0.2	2.3	0.9	440	4211645	4211645	0.000%	4
sal2_simplex.120.fq.seed2.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4215185	4215185	0.000%	5
sal2_simplex.50.fq.seed1.ngs.fa	enterobacterales_odb10	98.8	98.6	0.2	0.5	0.7	440	4215208	4215208	0.000%	5
sal2_R941.20.fq.seed2.ont.fa	enterobacterales_odb10	95.4	95.2	0.2	3.4	1.2	440	4211203	4211203	0.000%	4
sal2_R941.100.fq.seed1.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4212028	4212028	0.000%	5
sal2_simplex.110.fq.seed2.ngs.fa	enterobacterales_odb10	99.1	98.9	0.2	0.5	0.4	440	4215177	4215177	0.000%	5
sal2_R941.60.fq.seed1.ont.fa	enterobacterales_odb10	97.2	97.0	0.2	1.8	1.0	440	4211687	4211687	0.000%	4
sal2_simplex.50.fq.seed4.ont.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4215192	4215192	0.000%	6
sal2_simplex.90.fq.seed4.ont.fa	enterobacterales_odb10	99.5	99.3	0.2	0.0	0.5	440	4215186	4215186	0.000%	6
sal2_simplex.70.fq.seed5.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4215215	4215215	0.000%	5
sal2_simplex.80.fq.seed4.ngs.fa	enterobacterales_odb10	99.5	99.3	0.2	0.0	0.5	440	4215226	4215226	0.000%	5
sal2_simplex.60.fq.seed2.ont.fa	enterobacterales_odb10	99.1	98.9	0.2	0.2	0.7	440	4215160	4215160	0.000%	5
sal2_simplex.20.fq.seed2.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4215203	4215203	0.000%	6
sal2_R941.110.fq.seed4.ont.fa	enterobacterales_odb10	97.7	97.5	0.2	1.6	0.7	440	4211686	4211686	0.000%	9
sal2_simplex.10.fq.seed1.ont.fa	enterobacterales_odb10	95.7	95.5	0.2	2.3	2.0	440	938456	938456	0.000%	13
