Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
kp1_R941.10.fq.seed1.ngs	3	3	3	3	3	3	5648095	5648095	5648095	5648095	5648095	5648095	3	5324556	5648095	5406825	57.15	57.50	5324556	5324556	5324556	5324556	5029850.0	5254298.1	1	1	1	1	0	0	0	1	0	0	1	1 + 1 part	318173	98.481	1.001	0.02	0.47	1.63	5324554	5329920	5324554	5324554	5324554	5324554	5019547.9	5243536.3	1	1	1	1
kp1_R941.10.fq.seed1.ont	3	3	3	3	3	3	5645370	5645370	5645370	5645370	5645370	5645370	3	5321900	5645370	5406825	57.15	57.50	5321900	5321900	5321900	5321900	5027264.6	5249063.7	1	1	1	1	0	0	0	0	0	0	1	1 + 1 part	318104	98.486	1.000	0.00	34.99	83.95	5321898	5327264	5321898	5321898	5321898	5321898	5016961.9	5238306.4	1	1	1	1
kp1_R941.10.fq.seed2.ngs	6	6	6	6	6	5	5695219	5695219	5695219	5695219	5695219	5653595	6	2301257	5695219	5406825	57.14	57.50	1877297	1877297	1151501	1151501	1792010.0	1887593.8	2	2	3	3	0	0	0	2	0	0	1	1 + 2 part	335174	98.458	1.005	0.00	6.97	8.49	2284256	5348393	1877294	1877294	1140002	1140002	1763477.5	1857539.5	2	2	3	3
kp1_R941.10.fq.seed2.ont	6	6	6	6	6	5	5693562	5693562	5693562	5693562	5693562	5651903	6	2300989	5693562	5406825	57.14	57.50	1876079	1876079	1151374	1151374	1791456.1	1886461.4	2	2	3	3	0	0	0	1	0	0	1	1 + 2 part	319413	98.463	1.007	0.00	61.69	107.89	2299670	5362724	1876076	1876076	1140102	1140102	1775638.3	1869804.7	2	2	3	3
kp1_R941.10.fq.seed3.ngs	6	6	6	6	6	6	5637333	5637333	5637333	5637333	5637333	5637333	6	2716318	5637333	5406825	57.15	57.50	1277785	2716318	1119236	1119236	1838132.2	1916496.9	2	1	3	3	1	1	1277785	0	0	0	1	1 + 1 part	318173	98.274	1.001	0.00	1.97	2.90	2716307	5316868	1183798	2716307	200329	1117080	1787466.2	1863670.8	2	1	4	3
kp1_R941.10.fq.seed3.ont	6	6	6	6	6	6	5634262	5634262	5634262	5634262	5634262	5634262	6	2714981	5634262	5406825	57.15	57.50	1276953	2714981	1118711	1118711	1837233.1	1914515.9	2	1	3	3	1	1	1276953	0	0	0	1	1 + 1 part	318078	98.322	1.000	0.00	45.39	97.37	2714970	5316048	1183139	2714970	200047	1118711	1787496.2	1862686.9	2	1	4	3
kp1_R941.10.fq.seed4.ngs	6	6	6	6	5	5	5669757	5669757	5669757	5669757	5657550	5657550	6	2935100	5669757	5406825	57.15	57.50	2935100	2935100	1127666	1127666	2039033.6	2138191.1	1	1	3	3	1	1	2935100	0	0	0	1	2 + 2 part	333624	98.482	1.001	0.00	5.33	6.77	2175007	5330727	1269646	1269646	756850	756850	1442485.2	1512632.8	2	2	4	4
kp1_R941.10.fq.seed4.ont	6	6	6	6	5	5	5666815	5666815	5666815	5666815	5654538	5654538	6	2933561	5666815	5406825	57.15	57.50	2933561	2933561	1127180	1127180	2037892.6	2135885.7	1	1	3	3	1	1	2933561	0	0	0	1	2 + 2 part	333777	98.511	1.001	0.00	52.31	105.22	2173688	5331433	1268737	1268737	756469	756469	1443029.8	1512418.7	2	2	4	4
kp1_R941.10.fq.seed5.ngs	4	4	4	4	4	4	5657220	5657220	5657220	5657220	5657220	5657220	4	3384465	5657220	5406825	57.15	57.50	3384465	3384465	1949213	1949213	2706666.8	2832015.0	1	1	2	2	1	1	3384465	0	0	0	1	1 + 2 part	328675	98.476	1.001	0.00	1.20	2.06	2293034	5328477	1949145	1949145	1080931	1080931	1807529.3	1891237.6	2	2	3	3
kp1_R941.10.fq.seed5.ont	4	4	4	4	4	4	5654275	5654275	5654275	5654275	5654275	5654275	4	3382469	5654275	5406825	57.15	57.50	3382469	3382469	1948352	1948352	2705088.7	2828890.4	1	1	2	2	1	1	3382469	0	0	0	1	1 + 1 part	318088	98.476	1.002	0.00	55.51	106.76	2291520	5336088	1948284	1948284	1090918	1090918	1810485.8	1893344.9	2	2	3	3
kp1_R941.110.fq.seed1.ngs	4	4	4	4	3	3	5658476	5658476	5658476	5658476	5648415	5648415	4	5324874	5658476	5406825	57.15	57.50	5324874	5324874	5324874	5324874	5021238.7	5254943.3	1	1	1	1	1	1	5324874	0	0	0	1	2 + 1 part	328235	98.486	1.001	0.00	0.06	0.84	5324874	5330241	5324874	5324874	5324874	5324874	5010941.3	5244166.6	1	1	1	1
kp1_R941.110.fq.seed1.ont	4	4	4	4	3	3	5657725	5657725	5657725	5657725	5647667	5647667	4	5324218	5657725	5406825	57.14	57.50	5324218	5324218	5324218	5324218	5020665.3	5253645.8	1	1	1	1	1	1	5324218	0	0	0	1	2 + 1 part	328141	98.486	1.001	0.00	0.17	11.67	5324218	5329584	5324218	5324218	5324218	5324218	5010371.7	5242874.5	1	1	1	1
kp1_R941.110.fq.seed2.ngs	4	4	4	4	3	3	5668485	5668485	5668485	5668485	5648436	5648436	4	5324879	5668485	5406825	57.14	57.50	5324879	5324879	5324879	5324879	5012435.7	5255009.5	1	1	1	1	0	0	0	0	0	0	1	2 + 1 part	338239	98.486	1.001	0.00	0.04	0.49	5324879	5330246	5324879	5324879	5324879	5324879	5002102.7	5244176.4	1	1	1	1
kp1_R941.110.fq.seed2.ont	4	4	4	4	3	3	5667731	5667731	5667731	5667731	5647685	5647685	4	5324239	5667731	5406825	57.14	57.50	5324239	5324239	5324239	5324239	5011894.0	5253742.6	1	1	1	1	0	0	0	0	0	0	1	2 + 1 part	338125	98.486	1.001	0.00	0.15	11.28	5324239	5329606	5324239	5324239	5324239	5324239	5001565.7	5242915.9	1	1	1	1
kp1_R941.110.fq.seed3.ngs	4	4	4	4	3	3	5658473	5658473	5658473	5658473	5648413	5648413	4	5324876	5658473	5406825	57.15	57.50	5324876	5324876	5324876	5324876	5021245.0	5254947.0	1	1	1	1	1	1	5324876	0	0	0	1	2 + 1 part	328230	98.511	1.001	0.00	0.08	0.84	5324876	5330243	5324876	5324876	5324876	5324876	5010947.7	5244170.5	1	1	1	1
kp1_R941.110.fq.seed3.ont	4	4	4	4	3	3	5657708	5657708	5657708	5657708	5647650	5647650	4	5324199	5657708	5406825	57.14	57.50	5324199	5324199	5324199	5324199	5020644.8	5253608.6	1	1	1	1	1	1	5324199	0	0	0	1	2 + 1 part	328143	98.511	1.001	0.00	0.15	11.88	5324199	5329565	5324199	5324199	5324199	5324199	5010351.0	5242837.1	1	1	1	1
kp1_R941.110.fq.seed4.ngs	4	4	4	4	3	3	5658485	5658485	5658485	5658485	5648425	5648425	4	5324886	5658485	5406825	57.15	57.50	5324886	5324886	5324886	5324886	5021253.2	5254966.8	1	1	1	1	0	0	0	0	0	0	1	2 + 1 part	328232	98.486	1.001	0.00	0.04	0.69	5324886	5330253	5324886	5324886	5324886	5324886	5010955.9	5244190.2	1	1	1	1
kp1_R941.110.fq.seed4.ont	5	5	5	5	3	3	5670424	5670424	5670424	5670424	5647669	5647669	5	5324219	5670424	5406825	57.10	57.50	5324219	5324219	5324219	5324219	5009452.0	5253677.8	1	1	1	1	0	0	0	0	0	0	1	3 + 1 part	340839	98.486	1.001	0.00	0.17	11.58	5324219	5329585	5324219	5324219	5324219	5324219	4999152.8	5242876.5	1	1	1	1
kp1_R941.110.fq.seed5.ngs	4	4	4	4	3	3	5658471	5658471	5658471	5658471	5648411	5648411	4	5324872	5658471	5406825	57.15	57.50	5324872	5324872	5324872	5324872	5021239.3	5254939.3	1	1	1	1	0	0	0	0	0	0	1	2 + 1 part	328231	98.486	1.001	0.02	0.04	0.77	5324872	5330239	5324872	5324872	5324872	5324872	5010941.9	5244162.6	1	1	1	1
kp1_R941.110.fq.seed5.ont	4	4	4	4	3	3	5657738	5657738	5657738	5657738	5647681	5647681	4	5324233	5657738	5406825	57.14	57.50	5324233	5324233	5324233	5324233	5020682.0	5253675.4	1	1	1	1	0	0	0	0	0	0	1	2 + 1 part	328139	98.486	1.001	0.00	0.15	11.46	5324233	5329599	5324233	5324233	5324233	5324233	5010388.4	5242904.1	1	1	1	1
kp1_R941.120.fq.seed1.ngs	4	4	4	4	3	3	5658476	5658476	5658476	5658476	5648416	5648416	4	5324876	5658476	5406825	57.15	57.50	5324876	5324876	5324876	5324876	5021242.4	5254947.2	1	1	1	1	0	0	0	0	0	0	1	2 + 1 part	328233	98.486	1.001	0.00	0.02	0.86	5324876	5330243	5324876	5324876	5324876	5324876	5010945.0	5244170.5	1	1	1	1
kp1_R941.120.fq.seed1.ont	4	4	4	4	3	3	5657707	5657707	5657707	5657707	5647651	5647651	4	5324205	5657707	5406825	57.14	57.50	5324205	5324205	5324205	5324205	5020656.7	5253620.1	1	1	1	1	0	0	0	0	0	0	1	2 + 1 part	328136	98.486	1.001	0.00	0.15	11.91	5324205	5329571	5324205	5324205	5324205	5324205	5010363.2	5242848.9	1	1	1	1
kp1_R941.120.fq.seed2.ngs	4	4	4	4	3	3	5668527	5668527	5668527	5668527	5648414	5648414	4	5324874	5668527	5406825	57.14	57.50	5324874	5324874	5324874	5324874	5012389.0	5254999.4	1	1	1	1	0	0	0	0	0	0	1	2 + 1 part	338286	98.486	1.001	0.00	0.02	0.64	5324874	5330241	5324874	5324874	5324874	5324874	5002056.3	5244166.6	1	1	1	1
kp1_R941.120.fq.seed2.ont	4	4	4	4	3	3	5667749	5667749	5667749	5667749	5647637	5647637	4	5324200	5667749	5406825	57.14	57.50	5324200	5324200	5324200	5324200	5011804.8	5253665.8	1	1	1	1	0	0	0	0	0	0	1	2 + 1 part	338182	98.486	1.001	0.00	0.13	11.90	5324200	5329567	5324200	5324200	5324200	5324200	5001476.5	5242839.1	1	1	1	1
kp1_R941.120.fq.seed3.ngs	4	4	4	4	3	3	5668489	5668489	5668489	5668489	5648419	5648419	4	5324876	5668489	5406825	57.14	57.50	5324876	5324876	5324876	5324876	5012426.2	5255003.2	1	1	1	1	1	1	5324876	0	0	0	1	2 + 1 part	338246	98.511	1.001	0.00	0.04	0.64	5324876	5330243	5324876	5324876	5324876	5324876	5002093.6	5244170.5	1	1	1	1
kp1_R941.120.fq.seed3.ont	4	4	4	4	3	3	5667728	5667728	5667728	5667728	5647663	5647663	4	5324217	5667728	5406825	57.14	57.50	5324217	5324217	5324217	5324217	5011855.3	5253699.3	1	1	1	1	1	1	5324217	0	0	0	1	2 + 1 part	338145	98.511	1.001	0.00	0.19	11.52	5324217	5329583	5324217	5324217	5324217	5324217	5001527.0	5242872.6	1	1	1	1
kp1_R941.120.fq.seed4.ngs	5	5	5	4	3	3	5664944	5664944	5664944	5658486	5648423	5648423	5	5324885	5664944	5406825	57.14	57.50	5324885	5324885	5324885	5324885	5015533.7	5254972.6	1	1	1	1	0	0	0	0	0	0	1	3 + 1 part	334692	98.486	1.001	0.00	0.06	0.68	5324885	5330252	5324885	5324885	5324885	5324885	5005240.7	5244188.3	1	1	1	1
kp1_R941.120.fq.seed4.ont	6	6	6	5	3	3	5677388	5677388	5677388	5670930	5647656	5647656	6	5324214	5677388	5406825	57.09	57.50	5324214	5324214	5324214	5324214	5003307.1	5253677.7	1	1	1	1	0	0	0	0	0	0	1	4 + 1 part	347808	98.486	1.001	0.00	0.15	11.63	5324214	5329580	5324214	5324214	5324214	5324214	4993011.3	5242866.7	1	1	1	1
kp1_R941.120.fq.seed5.ngs	4	4	4	4	3	3	5668493	5668493	5668493	5668493	5648421	5648421	4	5324883	5668493	5406825	57.14	57.50	5324883	5324883	5324883	5324883	5012435.5	5255016.6	1	1	1	1	0	0	0	0	0	0	1	2 + 1 part	338243	98.486	1.001	0.00	0.02	0.62	5324883	5330250	5324883	5324883	5324883	5324883	5002103.2	5244184.3	1	1	1	1
kp1_R941.120.fq.seed5.ont	4	4	4	4	3	3	5667708	5667708	5667708	5667708	5647642	5647642	4	5324196	5667708	5406825	57.14	57.50	5324196	5324196	5324196	5324196	5011833.8	5253658.2	1	1	1	1	0	0	0	0	0	0	1	2 + 1 part	338146	98.486	1.001	0.00	0.09	12.01	5324196	5329562	5324196	5324196	5324196	5324196	5001505.2	5242831.2	1	1	1	1
kp1_R941.20.fq.seed1.ngs	3	3	3	3	3	3	5648406	5648406	5648406	5648406	5648406	5648406	3	5324869	5648406	5406825	57.15	57.50	5324869	5324869	5324869	5324869	5030163.1	5254914.6	1	1	1	1	1	1	5324869	0	0	0	1	1 + 1 part	318170	98.486	1.001	0.00	0.04	0.96	5324869	5330236	5324869	5324869	5324869	5324869	5019865.4	5244156.7	1	1	1	1
kp1_R941.20.fq.seed1.ont	3	3	3	3	3	3	5647368	5647368	5647368	5647368	5647368	5647368	3	5323887	5647368	5406825	57.15	57.50	5323887	5323887	5323887	5323887	5029232.6	5252977.0	1	1	1	1	1	1	5323887	0	0	0	1	1 + 1 part	318114	98.486	1.001	0.00	2.40	19.68	5323887	5329254	5323887	5323887	5323887	5323887	5018936.4	5242222.7	1	1	1	1
kp1_R941.20.fq.seed2.ngs	3	3	3	3	3	3	5648400	5648400	5648400	5648400	5648400	5648400	3	5324863	5648400	5406825	57.15	57.50	5324863	5324863	5324863	5324863	5030157.1	5254902.7	1	1	1	1	0	0	0	0	0	0	1	1 + 1 part	318170	98.281	1.001	0.00	0.02	1.03	5313794	5319161	5313794	5313794	5313794	5313794	4999011.1	5222365.2	1	1	1	1
kp1_R941.20.fq.seed2.ont	3	3	3	3	3	3	5647330	5647330	5647330	5647330	5647330	5647330	3	5323856	5647330	5406825	57.15	57.50	5323856	5323856	5323856	5323856	5029207.7	5252915.6	1	1	1	1	0	0	0	0	0	0	1	1 + 1 part	318107	98.281	1.001	0.00	2.18	19.57	5312788	5318155	5312788	5312788	5312788	5312788	4998065.3	5220388.0	1	1	1	1
kp1_R941.20.fq.seed3.ngs	4	4	4	4	3	3	5661138	5661138	5661138	5661138	5648415	5648415	4	5324875	5661138	5406825	57.14	57.50	5324875	5324875	5324875	5324875	5018890.1	5254956.3	1	1	1	1	0	0	0	0	0	0	1	2 + 1 part	330896	98.511	1.001	0.00	0.06	0.77	5324875	5330242	5324875	5324875	5324875	5324875	5008586.9	5244168.6	1	1	1	1
kp1_R941.20.fq.seed3.ont	4	4	4	4	3	3	5660140	5660140	5660140	5660140	5647295	5647295	4	5323823	5660140	5406825	57.14	57.50	5323823	5323823	5323823	5323823	5017792.1	5252880.5	1	1	1	1	0	0	0	0	0	0	1	2 + 1 part	330950	98.511	1.001	0.00	2.36	20.87	5323823	5329190	5323823	5323823	5323823	5323823	5007490.8	5242096.6	1	1	1	1
kp1_R941.20.fq.seed4.ngs	3	3	3	3	3	3	5648407	5648407	5648407	5648407	5648407	5648407	3	5324868	5648407	5406825	57.15	57.50	5324868	5324868	5324868	5324868	5030160.4	5254912.7	1	1	1	1	0	0	0	0	0	0	1	1 + 1 part	318172	98.486	1.001	0.00	0.04	1.05	5324864	5330231	5324864	5324864	5324864	5324864	5019855.1	5244146.9	1	1	1	1
kp1_R941.20.fq.seed4.ont	3	3	3	3	3	3	5647323	5647323	5647323	5647323	5647323	5647323	3	5323854	5647323	5406825	57.15	57.50	5323854	5323854	5323854	5323854	5029209.6	5252911.1	1	1	1	1	0	0	0	0	0	0	1	1 + 1 part	318102	98.486	1.001	0.00	2.03	19.95	5323854	5329221	5323854	5323854	5323854	5323854	5018914.1	5242157.7	1	1	1	1
kp1_R941.20.fq.seed5.ngs	4	4	4	4	3	3	5659663	5659663	5659663	5659663	5648413	5648413	4	5324875	5659663	5406825	57.14	57.50	5324875	5324875	5324875	5324875	5020191.9	5254949.8	1	1	1	1	0	0	0	0	0	0	1	2 + 1 part	329421	98.486	1.001	0.00	0.04	1.03	5324875	5330242	5324875	5324875	5324875	5324875	5009892.2	5244168.6	1	1	1	1
kp1_R941.20.fq.seed5.ont	4	4	4	4	3	3	5658486	5658486	5658486	5658486	5647276	5647276	4	5323803	5658486	5406825	57.14	57.50	5323803	5323803	5323803	5323803	5019214.6	5252834.2	1	1	1	1	0	0	0	0	0	0	1	2 + 1 part	329317	98.486	1.001	0.00	2.33	20.57	5323803	5329169	5323803	5323803	5323803	5323803	5008916.9	5242057.3	1	1	1	1
kp1_R941.30.fq.seed1.ngs	4	4	4	4	3	3	5663211	5663211	5663211	5663211	5648420	5648420	4	5324873	5663211	5406825	57.14	57.50	5324873	5324873	5324873	5324873	5017059.6	5254963.4	1	1	1	1	1	1	5324873	0	0	0	1	2 + 1 part	332971	98.486	1.001	0.00	0.04	0.86	5324873	5330240	5324873	5324873	5324873	5324873	5006749.8	5244164.6	1	1	1	1
kp1_R941.30.fq.seed1.ont	4	4	4	4	3	3	5662409	5662409	5662409	5662409	5647609	5647609	4	5324129	5662409	5406825	57.14	57.50	5324129	5324129	5324129	5324129	5016367.4	5253494.2	1	1	1	1	1	1	5324129	0	0	0	1	2 + 1 part	332914	98.486	1.001	0.00	0.73	13.57	5324129	5329495	5324129	5324129	5324129	5324129	5006059.7	5242699.3	1	1	1	1
kp1_R941.30.fq.seed2.ngs	4	4	4	4	3	3	5659416	5659416	5659416	5659416	5648408	5648408	4	5324870	5659416	5406825	57.15	57.50	5324870	5324870	5324870	5324870	5020400.5	5254938.9	1	1	1	1	0	0	0	0	0	0	1	2 + 1 part	329179	98.486	1.001	0.00	0.04	0.79	5324870	5330237	5324870	5324870	5324870	5324870	5010101.5	5244158.7	1	1	1	1
kp1_R941.30.fq.seed2.ont	4	4	4	4	3	3	5658590	5658590	5658590	5658590	5647617	5647617	4	5324136	5658590	5406825	57.14	57.50	5324136	5324136	5324136	5324136	5019748.6	5253489.7	1	1	1	1	0	0	0	0	0	0	1	2 + 1 part	329087	98.486	1.001	0.00	0.53	13.70	5324136	5329503	5324136	5324136	5324136	5324136	5009451.5	5242713.1	1	1	1	1
kp1_R941.30.fq.seed3.ngs	4	4	4	4	3	3	5663302	5663302	5663302	5663302	5648410	5648410	4	5324865	5663302	5406825	57.14	57.50	5324865	5324865	5324865	5324865	5016964.5	5254948.1	1	1	1	1	0	0	0	0	0	0	1	2 + 1 part	333070	98.486	1.001	0.00	0.08	0.88	5324864	5330231	5324864	5324864	5324864	5324864	5006652.4	5244146.9	1	1	1	1
kp1_R941.30.fq.seed3.ont	4	4	4	4	3	3	5662439	5662439	5662439	5662439	5647554	5647554	4	5324074	5662439	5406825	57.14	57.50	5324074	5324074	5324074	5324074	5016237.6	5253386.1	1	1	1	1	0	0	0	0	0	0	1	2 + 1 part	332998	98.486	1.001	0.00	0.71	14.58	5324074	5329441	5324074	5324074	5324074	5324074	5005929.7	5242591.0	1	1	1	1
kp1_R941.30.fq.seed4.ngs	4	4	4	4	3	3	5668542	5668542	5668542	5668542	5648420	5648420	4	5324874	5668542	5406825	57.14	57.50	5324874	5324874	5324874	5324874	5012376.0	5254999.7	1	1	1	1	1	1	5324874	0	0	0	1	2 + 1 part	338301	98.511	1.001	0.00	0.06	0.81	5324874	5330241	5324874	5324874	5324874	5324874	5002043.0	5244166.6	1	1	1	1
kp1_R941.30.fq.seed4.ont	4	4	4	4	3	3	5667662	5667662	5667662	5667662	5647548	5647548	4	5324076	5667662	5406825	57.14	57.50	5324076	5324076	5324076	5324076	5011650.5	5253423.4	1	1	1	1	1	1	5324076	0	0	0	1	2 + 1 part	338219	98.511	1.001	0.00	0.69	14.43	5324076	5329443	5324076	5324076	5324076	5324076	5001320.3	5242594.9	1	1	1	1
kp1_R941.30.fq.seed5.ngs	4	4	4	4	3	3	5659666	5659666	5659666	5659666	5648416	5648416	4	5324872	5659666	5406825	57.14	57.50	5324872	5324872	5324872	5324872	5020183.8	5254944.2	1	1	1	1	0	0	0	0	0	0	1	2 + 1 part	329427	98.486	1.001	0.00	0.08	0.83	5324872	5330239	5324872	5324872	5324872	5324872	5009883.9	5244162.6	1	1	1	1
kp1_R941.30.fq.seed5.ont	4	4	4	4	3	3	5658763	5658763	5658763	5658763	5647555	5647555	4	5324083	5658763	5406825	57.14	57.50	5324083	5324083	5324083	5324083	5019495.6	5253385.5	1	1	1	1	0	0	0	0	0	0	1	2 + 1 part	329314	98.486	1.001	0.00	0.75	14.47	5324083	5329449	5324083	5324083	5324083	5324083	5009198.6	5242608.7	1	1	1	1
kp1_R941.40.fq.seed1.ngs	4	4	4	4	3	3	5662967	5662967	5662967	5662967	5648422	5648422	4	5324877	5662967	5406825	57.14	57.50	5324877	5324877	5324877	5324877	5017281.9	5254969.8	1	1	1	1	0	0	0	0	0	0	1	2 + 1 part	332723	98.486	1.001	0.00	0.02	0.90	5324877	5330244	5324877	5324877	5324877	5324877	5006973.0	5244172.5	1	1	1	1
kp1_R941.40.fq.seed1.ont	4	4	4	4	3	3	5662460	5662460	5662460	5662460	5647670	5647670	4	5324196	5662460	5406825	57.14	57.50	5324196	5324196	5324196	5324196	5016447.9	5253625.8	1	1	1	1	0	0	0	0	0	0	1	2 + 1 part	332898	98.486	1.001	0.00	0.41	12.29	5324196	5329562	5324196	5324196	5324196	5324196	5006140.6	5242831.2	1	1	1	1
kp1_R941.40.fq.seed2.ngs	3	3	3	3	3	3	5648553	5648553	5648553	5648553	5648553	5648553	3	5324864	5648553	5406825	57.15	57.50	5324864	5324864	5324864	5324864	5030028.7	5254910.9	1	1	1	1	0	0	0	0	0	0	1	1 + 1 part	318322	98.486	1.001	0.00	0.06	0.58	5324864	5330231	5324864	5324864	5324864	5324864	5019725.3	5244146.9	1	1	1	1
kp1_R941.40.fq.seed2.ont	3	3	3	3	3	3	5647810	5647810	5647810	5647810	5647810	5647810	3	5324186	5647810	5406825	57.15	57.50	5324186	5324186	5324186	5324186	5029408.3	5253571.7	1	1	1	1	0	0	0	0	0	0	1	1 + 1 part	318257	98.486	1.001	0.00	0.43	12.37	5324186	5329553	5324186	5324186	5324186	5324186	5019107.3	5242811.5	1	1	1	1
